No.,구분명,유니크키,품목명[규격],비고,품목코드,단가,전월수량,현재수량,금액
636,모듈생산창고,PCB_OS5050/5700K/22V/12S/DN(N) [6:6],PCB_OS5050/5700K/22V/12S/DN(N) [6:6],,L_OS505722V12SDN(N),"3,471.00",11,11,"38,181"
637,모듈생산창고,PCB_OS5050/5700K/24V/12S/DN,PCB_OS5050/5700K/24V/12S/DN,,L_OS505724V12SDN,"3,471.00",25,25,"86,775"
638,모듈생산창고,PCB_OS5050/5700K/30V/10S/CN,PCB_OS5050/5700K/30V/10S/CN,,L_OS505730V10SCN,"2,987.00",76,76,"227,012"
639,모듈생산창고,PCB_OS5050/5700K/30V/10S/DN,PCB_OS5050/5700K/30V/10S/DN,,L_OS505730V10SDN,"2,987.00",7,7,"20,909"
640,모듈생산창고,PCB_OS5050/5700K/30V/12S/CN,PCB_OS5050/5700K/30V/12S/CN,,L_OS505730V12SCN,"3,471.00",66,66,"229,086"
641,모듈생산창고,PCB_OS5050/5700K/30V/12S/DN,PCB_OS5050/5700K/30V/12S/DN,,L_OS505730V12SDN,"3,471.00",4,4,"13,884"
642,모듈생산창고,PCB_OS5050/5700K/30V/12S/DN/6:6,PCB_OS5050/5700K/30V/12S/DN/6:6,,L_OS505730V12SDN66,"3,471.00",26,26,"90,246"
643,모듈생산창고,PCB_OS5050/5700K/30V/5S/DN,PCB_OS5050/5700K/30V/5S/DN,,L_OS505730V5SDN,"1,777.00",28,28,"49,756"
644,모듈생산창고,PCB_OS5050/5700K/33V/6S/DN(N) [3:3],PCB_OS5050/5700K/33V/6S/DN(N) [3:3],,L_OS505733V6SDN(N),"2,019.00",10,10,"20,190"
645,모듈생산창고,PCB_OS5050/5700K/36V/12S/DN,PCB_OS5050/5700K/36V/12S/DN,,L_OS505736V12SDN,"3,471.00",8,8,"27,768"
646,모듈생산창고,PCB_3535/24V/12S(N) [SUN24V1],PCB_3535/24V/12S(N) [SUN24V1],,L_PCB_353524V12SN,870,350,350,"304,500"
647,모듈생산창고,PCB_5050/22V/12S(N) [FZ_22V1],PCB_5050/22V/12S(N) [FZ_22V1],,L_PCB_505022V12SN,870,224,224,"194,880"
648,모듈생산창고,PCB_5050/33V/6S(N) [FZ_33V1S],PCB_5050/33V/6S(N) [FZ_33V1S],,L_PCB_505033V6SN,870,220,220,"191,400"
649,모듈생산창고,PCB_5050/36V/12S [DC36V(12P) V5.0],PCB_5050/36V/12S [DC36V(12P) V5.0],,L_PCB_505036V12S,870,2,2,"1,740"
650,모듈생산창고,PCB_SE3030/4000K/28V/50S/CN,PCB_SE3030/4000K/28V/50S/CN,,L_SE304028V50SCN,"3,867.00",18,18,"69,606"
651,모듈생산창고,PCB_SE3030/4000K/33V/44S/CN,PCB_SE3030/4000K/33V/44S/CN,,L_SE304033V44SCN,"3,471.00",26,26,"90,246"
652,모듈생산창고,PCB_SE3030/5000K/22V/48S/CN,PCB_SE3030/5000K/22V/48S/CN,,L_SE305022V48SCN,"3,735.00",241,241,"900,135"
653,모듈생산창고,PCB_SE3030/5000K/28V/50S/CN,PCB_SE3030/5000K/28V/50S/CN,,L_SE305028V50SCN,"3,867.00",2,2,"7,734"
654,모듈생산창고,PCB_SE3030/5000K/33V/33S/CN,PCB_SE3030/5000K/33V/33S/CN,,L_SE305033V33SCN,"2,745.00",27,27,"74,115"
655,모듈생산창고,PCB_SE3030/5000K/33V/44S/CN,PCB_SE3030/5000K/33V/44S/CN,,L_SE305033V44SCN,"3,471.00",7,7,"24,297"
656,모듈생산창고,PCB_SE3030/5700K/28V/50S/CN,PCB_SE3030/5700K/28V/50S/CN,,L_SE305728V57SCN,"3,867.00",1,1,"3,867"
657,모듈생산창고,PCB_SE5050/5000K/24V/12S/CN,PCB_SE5050/5000K/24V/12S/CN,,L_SE505024V12SCN,"2,991.00",2,2,"5,982"
658,모듈생산창고,PCB_SE5050/5000K/27V/12S/CN [STW8L60A],PCB_SE5050/5000K/27V/12S/CN [STW8L60A],,L_SE505027V12SCN,"2,991.00",1,1,"2,991"
659,모듈생산창고,PCB_SE5050/5000K/30V/10S/BN,PCB_SE5050/5000K/30V/10S/BN,,L_SE505030V10SBN,"2,587.00",134,134,"346,658"
660,모듈생산창고,PCB_SS3030/3000K/33V/33S/CI [PCB : VER8.1],PCB_SS3030/3000K/33V/33S/CI [PCB : VER8.1],,L_SS303033V33SCI8.1,"2,514.00",10,10,"25,140"
661,모듈생산창고,PCB_SS3030/3500K/33V/33S/CI [PCB : VER8.1],PCB_SS3030/3500K/33V/33S/CI [PCB : VER8.1],,L_SS303533V33SCI8.1,"2,514.00",134,134,"336,876"
662,모듈생산창고,PCB_SS3030/4000K/33V/33S/CI,PCB_SS3030/4000K/33V/33S/CI,,L_SS304033V33SCI,"2,514.00",15,15,"37,710"
663,모듈생산창고,PCB_SS3030/5000K/22V/48S/BI,PCB_SS3030/5000K/22V/48S/BI,,L_SS305022V48SBI,"3,399.00",80,80,"271,920"
664,모듈생산창고,PCB_SS3030/5000K/22V/48S/CI,PCB_SS3030/5000K/22V/48S/CI,,L_SS305022V48SCI,"3,399.00",56,56,"190,344"
